,Lat,Lon
"Ackley, IA",42.5525,-93.05389
"Ackworth, IA",41.365,-93.47333
"Adair, IA",41.5,-94.64389
"Adel, IA",41.61667,-94.02167
"Afton, IA",41.028059999999996,-94.19694
"Agency, IA",40.99556,-92.3075
"Ainsworth, IA",41.290279999999996,-91.55417
"Akron, IA",42.82528,-96.55667
"Albert City, IA",42.78083,-94.95056
"Albia, IA",41.02667,-92.80528000000001
"Albion, IA",42.111670000000004,-92.99083
"Alburnett, IA",42.14917,-91.61972
"Alden, IA",42.516940000000005,-93.37583000000001
"Alexander, IA",42.80472,-93.4775
"Algona, IA",43.07028,-94.22972
"Alleman, IA",41.81889,-93.61111
"Allerton, IA",40.70722,-93.36721999999999
"Allison, IA",42.75333,-92.79472
"Alta, IA",42.67194,-95.30471999999999
"Alta Vista, IA",43.19917,-92.41583
"Alton, IA",42.986940000000004,-96.01139
"Altoona, IA",41.65,-93.4725
"Alvord, IA",43.342220000000005,-96.30360999999999
"Ames, IA",42.03472,-93.62
"Anamosa, IA",42.10889,-91.28139
"Andover, IA",41.97889,-90.25166999999999
"Andrew, IA",42.154059000000004,-90.59176500000001
"Anita, IA",41.446670000000005,-94.76556
"Ankeny, IA",41.72667,-93.60417
"Anthon, IA",42.38778,-95.86639
"Aplington, IA",42.5825,-92.8825
"Arcadia, IA",42.086940000000006,-95.04556
"Archer, IA",43.11528,-95.74444
"Aredale, IA",42.835,-93.00471999999999
"Arion, IA",41.94917,-95.46306
"Arispe, IA",40.948890000000006,-94.21889
"Arlington, IA",42.748059999999995,-91.67166999999999
"Armstrong, IA",43.39583,-94.48083000000001
"Arnolds Park, IA",43.365559999999995,-95.12971999999999
"Arthur, IA",42.33528,-95.34666999999999
"Asbury, IA",42.51556,-90.76333000000001
"Ashton, IA",43.31194,-95.79167
"Aspinwall, IA",41.911390000000004,-95.135
"Atalissa, IA",41.571670000000005,-91.16667
"Atkins, IA",41.99472,-91.86111
"Atlantic, IA",41.40139,-95.01083
"Auburn, IA",42.25083,-94.87722
"Audubon, IA",41.720279999999995,-94.92833
"Aurelia, IA",42.71417,-95.43472
"Aurora, IA",42.61806,-91.72861
"Avoca, IA",41.483000000000004,-95.333
"Ayrshire, IA",43.03861,-94.83471999999999
"Badger, IA",42.61528,-94.14444
"Bagley, IA",41.84667,-94.42889
"Baldwin, IA",42.073890000000006,-90.84056
"Balltown, IA",42.6375,-90.86861
"Bancroft, IA",43.29278,-94.21694000000001
"Bankston, IA",42.509170000000005,-90.96
"Barnes City, IA",41.50833,-92.46889
"Barnum, IA",42.50667,-94.36444
"Bassett, IA",43.06222,-92.51583000000001
"Batavia, IA",40.9975,-92.16778000000001
"Battle Creek, IA",42.31694,-95.59944
"Baxter, IA",41.82444,-93.15083
"Bayard, IA",41.85222,-94.55722
"Beacon, IA",41.27583,-92.68083
"Beaconsfield, IA",40.80806,-94.05056
"Beaman, IA",42.22,-92.82306
"Beaver, IA",42.03778,-94.14111
"Bedford, IA",40.66833,-94.72111
"Belle Plaine, IA",41.89667,-92.2775
"Bellevue, IA",42.259170000000005,-90.42639
"Belmond, IA",42.84722,-93.61222
"Bennett, IA",41.740829999999995,-90.97444
"Benton, IA",40.70583,-94.35778
"Berkley, IA",41.94611,-94.11389
"Bernard, IA",42.31361,-90.83111
"Bertram, IA",41.95,-91.53444
"Bettendorf, IA",41.55,-90.49361
"Bevington, IA",41.36056,-93.79083
"Birmingham, IA",40.878609999999995,-91.94667
"Blairsburg, IA",42.479440000000004,-93.64166999999999
"Blairstown, IA",41.906940000000006,-92.08333
"Blakesburg, IA",40.96278,-92.63611
"Blanchard, IA",40.57972,-95.22083
"Blencoe, IA",41.931940000000004,-96.08166999999999
"Blockton, IA",40.615851,-94.47665400000001
"Bloomfield, IA",40.75111,-92.41694
"Blue Grass, IA",41.51194,-90.765
"Bode, IA",42.86722,-94.28778
"Bonaparte, IA",40.7,-91.80083
"Bondurant, IA",41.69417,-93.46139000000001
"Boone, IA",42.06111,-93.88611
"Bouton, IA",41.850559999999994,-94.00944
"Boxholm, IA",42.175,-94.10556
"Boyden, IA",43.19028,-96.00361
"Braddyville, IA",40.57861,-95.02972
"Bradgate, IA",42.803329999999995,-94.42028
"Brandon, IA",42.314170000000004,-92.00417
"Brayton, IA",41.54528,-94.92583
"Breda, IA",42.18222,-94.97806
"Bridgewater, IA",41.24556,-94.66833000000001
"Brighton, IA",41.17333,-91.82083
"Bristow, IA",42.77361,-92.90694
"Britt, IA",43.09639,-93.80111
"Bronson, IA",42.409440000000004,-96.21167
"Brooklyn, IA",41.73222,-92.44360999999999
"Brunsville, IA",42.80917,-96.26861
"Buck Grove, IA",41.91861,-95.39721999999999
"Buckeye, IA",42.41833,-93.37583000000001
"Buffalo, IA",41.45917,-90.72111
"Buffalo Center, IA",43.386390000000006,-93.94833
"Burlington, IA",40.80806,-91.11583
"Burt, IA",43.19806,-94.22166999999999
"Bussey, IA",41.20528,-92.88528000000001
"Calamus, IA",41.82667,-90.75972
"Callender, IA",42.3625,-94.29333000000001
"Calmar, IA",43.181940000000004,-91.86639
"Calumet, IA",42.94611,-95.55194
"Camanche, IA",41.786390000000004,-90.26
"Cambridge, IA",41.898734999999995,-93.529662
"Cantril, IA",40.643609999999995,-92.06721999999999
"Carbon, IA",41.05028,-94.82528
"Carlisle, IA",41.50111,-93.49028
"Carpenter, IA",43.41556,-93.01722
"Carroll, IA",42.06944,-94.86639
"Carson, IA",41.235744,-95.41842700000001
"Carter Lake, IA",41.29278,-95.91389000000001
"Cascade, IA",42.297534999999996,-91.012215
"Casey, IA",41.50611,-94.52
"Castalia, IA",43.11222,-91.67721999999999
"Castana, IA",42.0725,-95.90833
"Cedar Falls, IA",42.52352,-92.446402
"Cedar Rapids, IA",41.983059999999995,-91.66861
"Center Junction, IA",42.11639,-91.08806
"Center Point, IA",42.19056,-91.7825
"Centerville, IA",40.729836,-92.872012
"Central City, IA",42.204440000000005,-91.525
"Centralia, IA",42.47222,-90.83610999999999
"Chariton, IA",41.01611,-93.3075
"Charles City, IA",43.066390000000006,-92.67583
"Charlotte, IA",41.96111,-90.46972
"Charter Oak, IA",42.06778,-95.58944
"Chatsworth, IA",42.91583,-96.51611
"Chelsea, IA",41.92,-92.39444
"Cherokee, IA",42.75,-95.55
"Chester, IA",43.49111,-92.36111
"Chillicothe, IA",41.08639,-92.52889
"Churdan, IA",42.155,-94.47667
"Cincinnati, IA",40.63028,-92.92361
"Clare, IA",42.58778,-94.34361
"Clarence, IA",41.88778,-91.05917
"Clarinda, IA",40.7375,-95.03583
"Clarion, IA",42.73111,-93.73111
"Clarksville, IA",42.782779999999995,-92.66972
"Clayton, IA",42.903059999999996,-91.14806
"Clear Lake, IA",43.136390000000006,-93.38
"Clearfield, IA",40.8,-94.47639000000001
"Cleghorn, IA",42.81278,-95.71194
"Clemons, IA",42.11417,-93.15833
"Clermont, IA",42.99944,-91.65472
"Clinton, IA",41.846940000000004,-90.20721999999999
"Clio, IA",40.636390000000006,-93.45028
"Clive, IA",41.6,-93.78299999999999
"Clutier, IA",42.07889,-92.40333000000001
"Coburg, IA",40.91667,-95.26583000000001
"Coggon, IA",42.27917,-91.52972
"Coin, IA",40.656940000000006,-95.23416999999999
"Colesburg, IA",42.64,-91.20111
"Colfax, IA",41.67583,-93.24444
"College Springs, IA",40.620878000000005,-95.121941
"Collins, IA",41.9025,-93.30694
"Colo, IA",42.016940000000005,-93.3175
"Columbus City, IA",41.25833,-91.37583000000001
"Columbus Junction, IA",41.27833,-91.3625
"Colwell, IA",43.156940000000006,-92.59306
"Conesville, IA",41.37944,-91.35028
"Conrad, IA",42.225,-92.87222
"Conway, IA",40.74861,-94.61944
"Coon Rapids, IA",41.8725,-94.67667
"Coppock, IA",41.16278,-91.71611
"Coralville, IA",41.68833,-91.58667
"Corning, IA",40.99139,-94.73694
"Correctionville, IA",42.47667,-95.78472
"Corwith, IA",42.99333,-93.95583
"Corydon, IA",40.759170000000005,-93.31778
"Cotter, IA",41.29222,-91.46722
"Coulter, IA",42.73444,-93.36917
"Council Bluffs, IA",41.25,-95.867
"Craig, IA",42.896390000000004,-96.31028
"Crawfordsville, IA",41.21528,-91.53778
"Crescent, IA",41.363609999999994,-95.85889
"Cresco, IA",43.37444,-92.115
"Creston, IA",41.05917,-94.36444
"Cromwell, IA",41.04083,-94.4625
"Crystal Lake, IA",43.22361,-93.79194
"Cumberland, IA",41.27361,-94.87111
"Cumming, IA",41.48583,-93.76194
"Curlew, IA",42.98028,-94.7375
"Cushing, IA",42.465,-95.67639
"Cylinder, IA",43.08917,-94.55
"Dakota City, IA",42.721940000000004,-94.20028
"Dallas Center, IA",41.68444,-93.96083
"Dana, IA",42.10667,-94.24028
"Danbury, IA",42.23611,-95.72166999999999
"Danville, IA",40.863890000000005,-91.31583
"Davenport, IA",41.54306,-90.59083000000001
"Davis City, IA",40.63944,-93.81222
"Dawson, IA",41.84361,-94.22139
"Dayton, IA",42.26278,-94.06917
"De Soto, IA",41.53111,-94.00833
"De Witt, IA",41.82278,-90.54278000000001
"Decatur City, IA",40.74222,-93.83278
"Decorah, IA",43.30167,-91.79028000000001
"Dedham, IA",41.908609999999996,-94.82278000000001
"Deep River, IA",41.58028,-92.37416999999999
"Defiance, IA",41.82472,-95.34194000000001
"Delaware, IA",42.473890000000004,-91.34222
"Delhi, IA",42.428059999999995,-91.33
"Delmar, IA",42.001670000000004,-90.60778
"Deloit, IA",42.09722,-95.31917
"Delphos, IA",40.663059999999994,-94.33944
"Delta, IA",41.32417,-92.32944
"Denison, IA",42.01722,-95.35110999999999
"Denver, IA",42.67194,-92.33361
"Derby, IA",40.93083,-93.45694
"Des Moines, IA",41.59083,-93.62083
"Dexter, IA",41.51556,-94.22721999999999
"Diagonal, IA",40.808890000000005,-94.34139
"Dickens, IA",43.130829999999996,-95.02056
"Dike, IA",42.46472,-92.62778
"Dixon, IA",41.74139,-90.78278
"Dolliver, IA",43.46472,-94.615
"Donahue, IA",41.69528,-90.67472
"Donnellson, IA",40.64333,-91.565
"Doon, IA",43.27861,-96.23194000000001
"Dougherty, IA",42.9225,-93.04111
"Dow City, IA",41.928329999999995,-95.49444
"Dows, IA",42.656940000000006,-93.50222
"Drakesville, IA",40.799170000000004,-92.48111
"Dubuque, IA",42.50444,-90.68694
"Dumont, IA",42.74944,-92.97222
"Duncombe, IA",42.47,-93.99278000000001
"Dundee, IA",42.57889,-91.54722
"Dunkerton, IA",42.568329999999996,-92.16
"Dunlap, IA",41.85389,-95.6
"Durango, IA",42.56,-90.77583
"Durant, IA",41.60111,-90.90916999999999
"Dyersville, IA",42.481390000000005,-91.12083
"Dysart, IA",42.168890000000005,-92.30806
"Eagle Grove, IA",42.665,-93.9025
"Earlham, IA",41.49306,-94.12361
"Earling, IA",41.775,-95.41861
"Earlville, IA",42.48194,-91.27056
"Early, IA",42.461940000000006,-95.15139
"East Peru, IA",41.22722,-93.92528
"Eddyville, IA",41.15833,-92.635
"Edgewood, IA",42.64472,-91.40167
"Elberon, IA",42.00528,-92.3175
"Eldon, IA",40.91778,-92.22028
"Eldora, IA",42.360279999999996,-93.10139000000001
"Eldridge, IA",41.64861,-90.58139
"Elgin, IA",42.95583,-91.63639
"Elk Horn, IA",41.59278,-95.05972
"Elk Run Heights, IA",42.46861,-92.25721999999999
"Elkader, IA",42.85583,-91.40306
"Elkhart, IA",41.79278,-93.525
"Elkport, IA",42.74111,-91.27556
"Elliott, IA",41.14889,-95.16194
"Ellston, IA",40.84028,-94.10861
"Ellsworth, IA",42.31194,-93.58083
"Elma, IA",43.24556,-92.43861
"Ely, IA",41.87556,-91.58306
"Emerson, IA",41.018609999999995,-95.40194
"Emmetsburg, IA",43.11111,-94.68194
"Epworth, IA",42.44583,-90.93111
"Essex, IA",40.833059999999996,-95.30528000000001
"Estherville, IA",43.40444,-94.83361
"Evansdale, IA",42.46778,-92.28222
"Everly, IA",43.15972,-95.32528
"Exira, IA",41.59167,-94.87833
"Exline, IA",40.65,-92.84
"Fairbank, IA",42.63944,-92.04778
"Fairfax, IA",41.91972,-91.78028
"Fairfield, IA",41.007220000000004,-91.96583000000001
"Farley, IA",42.44389,-91.00944
"Farmersburg, IA",42.958515999999996,-91.36755500000001
"Farmington, IA",40.633,-91.73299999999999
"Farnhamville, IA",42.27639,-94.40639
"Farragut, IA",40.72167,-95.48028000000001
"Fayette, IA",42.8425,-91.80306
"Fenton, IA",43.216390000000004,-94.42639
"Ferguson, IA",41.9375,-92.865
"Fertile, IA",43.264720000000004,-93.42111
"Floris, IA",40.86417,-92.33221999999999
"Floyd, IA",43.1275,-92.73971999999999
"Fonda, IA",42.58278,-94.84583
"Fontanelle, IA",41.29,-94.56222
"Forest City, IA",43.26194,-93.64028
"Fort Atkinson, IA",43.14417,-91.93472
"Fort Dodge, IA",42.50667,-94.18028000000001
"Fort Madison, IA",40.628609999999995,-91.33889
"Fostoria, IA",43.24167,-95.155
"Franklin, IA",40.66639,-91.51194
"Fraser, IA",42.12444,-93.96916999999999
"Fredericksburg, IA",42.96472,-92.19833
"Frederika, IA",42.8825,-92.30611
"Fredonia, IA",41.285,-91.33806
"Fremont, IA",41.21222,-92.435
"Fruitland, IA",41.35222,-91.12611
"Galt, IA",42.693059999999996,-93.605
"Galva, IA",42.50611,-95.41806
"Garber, IA",42.74389,-91.26306
"Garden Grove, IA",40.82639,-93.60778
"Garnavillo, IA",42.86694,-91.23611
"Garner, IA",43.09806,-93.60417
"Garrison, IA",42.143609999999995,-92.14305999999999
"Garwin, IA",42.09472,-92.67667
"Geneva, IA",42.67583,-93.13139
"George, IA",43.3425,-96.00111
"Gibson, IA",41.48056,-92.39305999999999
"Gilbert, IA",42.10583,-93.64528
"Gilbertville, IA",42.41722,-92.21389
"Gillett Grove, IA",43.01444,-95.03667
"Gilman, IA",41.87972,-92.78889000000001
"Gilmore City, IA",42.73056,-94.4425
"Gladbrook, IA",42.185,-92.71472
"Glenwood, IA",41.045559999999995,-95.7425
"Glidden, IA",42.05833,-94.72833
"Goldfield, IA",42.73472,-93.92028
"Goodell, IA",42.92361,-93.61417
"Goose Lake, IA",41.9675,-90.38083
"Gowrie, IA",42.279720000000005,-94.29139
"Graettinger, IA",43.23806,-94.75111
"Graf, IA",42.495,-90.87194000000001
"Grafton, IA",43.329440000000005,-93.07028000000001
"Grand Junction, IA",42.03111,-94.23528
"Grand Mound, IA",41.82417,-90.64694
"Grand River, IA",40.81889,-93.9625
"Grandview, IA",41.27722,-91.18889
"Granger, IA",41.76167,-93.82389
"Grant, IA",41.14222,-94.98528
"Granville, IA",42.98444,-95.87583000000001
"Gravity, IA",40.759170000000005,-94.74417
"Gray, IA",41.84,-94.9825
"Greeley, IA",42.585,-91.34167
"Greene, IA",42.8975,-92.80333
"Greenfield, IA",41.30556,-94.45861
"Greenville, IA",43.01611,-95.14556
"Grimes, IA",41.68306,-93.78444
"Grinnell, IA",41.74361,-92.72471999999999
"Griswold, IA",41.233000000000004,-95.133
"Grundy Center, IA",42.36111,-92.77360999999999
"Gruver, IA",43.39306,-94.70472
"Guernsey, IA",41.65,-92.34444
"Guthrie Center, IA",41.67972,-94.50083000000001
"Guttenberg, IA",42.78611,-91.10139000000001
"Halbur, IA",42.00639,-94.97166999999999
"Hamburg, IA",40.60583,-95.655
"Hamilton, IA",41.17083,-92.90389
"Hampton, IA",42.74306,-93.20778
"Hancock, IA",41.39056,-95.36306
"Hanlontown, IA",43.28083,-93.37944
"Hansell, IA",42.757220000000004,-93.10361
"Harcourt, IA",42.26194,-94.17667
"Hardy, IA",42.81028,-94.05167
"Harlan, IA",41.654720000000005,-95.32194
"Harper, IA",41.3625,-92.05111
"Harpers Ferry, IA",43.20167,-91.15083
"Harris, IA",43.44556,-95.43306
"Hartford, IA",41.459720000000004,-93.40222
"Hartley, IA",43.181940000000004,-95.47639000000001
"Hartwick, IA",41.78528,-92.34416999999999
"Harvey, IA",41.31556,-92.92556
"Hastings, IA",41.02389,-95.49722
"Havelock, IA",42.83333,-94.70167
"Haverhill, IA",41.945,-92.96139000000001
"Hawarden, IA",43.00111,-96.48444
"Hawkeye, IA",42.93806,-91.95111
"Hayesville, IA",41.26444,-92.24889
"Hazleton, IA",42.61833,-91.90666999999999
"Hedrick, IA",41.17361,-92.30833
"Henderson, IA",41.13917,-95.43139000000001
"Hepburn, IA",40.84861,-95.01666999999999
"Hiawatha, IA",42.04444,-91.68111
"Hills, IA",41.556940000000004,-91.535
"Hillsboro, IA",40.83639,-91.71361
"Hinton, IA",42.625,-96.29417
"Holland, IA",42.39972,-92.79944
"Holstein, IA",42.486670000000004,-95.5425
"Holy Cross, IA",42.60028,-90.99444
"Hopkinton, IA",42.34389,-91.24861
"Hornick, IA",42.23083,-96.09666999999999
"Hospers, IA",43.07111,-95.90472
"Houghton, IA",40.78306,-91.6125
"Hubbard, IA",42.305,-93.30083
"Hudson, IA",42.40889,-92.45222
"Hull, IA",43.19028,-96.13444
"Humboldt, IA",42.72361,-94.22139
"Humeston, IA",40.85889,-93.4975
"Huxley, IA",41.89611,-93.60278000000001
"Ida Grove, IA",42.344440000000006,-95.47055999999999
"Imogene, IA",40.878609999999995,-95.42778
"Independence, IA",42.470279999999995,-91.89389
"Indianola, IA",41.361670000000004,-93.56306
"Inwood, IA",43.308890000000005,-96.4325
"Ionia, IA",43.034440000000004,-92.45666999999999
"Iowa City, IA",41.6601,-91.5342
"Iowa Falls, IA",42.516999999999996,-93.26700000000001
"Ireton, IA",42.97417,-96.31778
"Irwin, IA",41.79056,-95.20721999999999
"Jackson Junction, IA",43.10694,-92.04666999999999
"Jamaica, IA",41.85,-94.3
"Janesville, IA",42.64611,-92.46278000000001
"Jefferson, IA",42.01667,-94.37666999999999
"Jesup, IA",42.47583,-92.06278
"Jewell Junction, IA",42.3075,-93.64111
"Johnston, IA",41.67139,-93.70583
"Joice, IA",43.36333,-93.45583
"Jolley, IA",42.47917,-94.71806
